trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-93.85588083931937,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-74.78526970797864,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-17.766728340914877,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-109.42229873028975,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-76.83983834148387,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-161.63659918929017,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-108.47291097753687,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-76.63110185863313,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-202.96945124707617,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-9.789434753027617,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-56.08967764929735,"{0: 21, 1: 6, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-15.660807560189495,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,19,4.250117816360872,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-30.292951295447754,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,2.723028330293529,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,10,16.15069028189927,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,1,-28.20543583090007,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,7,27.75050446479256,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,19.28446321550168,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,18.014775046417217,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': -0.05}",25,16,15.500098428145318,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': -0.05}",20,0,-4.399726345402737,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': -0.05}",35,0,42.62102775242475,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': -0.05}",35,16,32.868843544377555,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': -0.05}",30,0,9.1167711531604,"{0: 25, 1: 5, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': -0.05}",30,0,18.394032972003348,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': -0.05}",20,0,32.231361796093665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': -0.05}",20,2,12.99727501625037,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': -0.05}",30,12,6.441389097218957,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': -0.05}",35,7,20.8590284869951,"{0: 25, 1: 3, 2: 0, 3: 0, 4: 0}",1
