trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-138.60998758035393,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067554}",25,3,-56.231605984919845,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-104.04427623649691,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-120.9238214748834,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9512294245007139}",20,0,-60.91882512069563,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-62.25486902394602,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059482}",25,0,-102.05851809921077,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-118.20380689534605,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-79.54786247837619,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,5,-4.971794721055805,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-179.52235123752666,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-167.96299695298097,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205614}",20,0,-78.73530165813331,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988057}",25,0,-98.4521573523091,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-59.314859551812646,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
