trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-54.67172902352492,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067554}",25,0,-95.55015265836576,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,0,-211.4038662686548,"{0: 17, 1: 4, 2: 3, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-66.4518701669187,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9512294245007139}",25,0,-80.72722856452559,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-90.62376546117878,"{0: 18, 1: 1, 2: 11, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059482}",20,0,-126.90115687492984,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-189.2064049976254,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-61.83454358066019,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-108.49682024804028,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-166.22759719998112,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-96.5688258447157,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205614}",25,0,-152.16964319513303,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988057}",20,0,-97.4123558067513,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-232.35456732588156,"{0: 18, 1: 2, 2: 3, 3: 3, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",30,0,-201.99052129583208,"{0: 19, 1: 1, 2: 4, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-134.63194655308308,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-67.79134217947947,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,3,-66.89515127061078,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-73.76230183074544,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0.8105842459701872}",35,0,-126.60318077609323,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0.8025187979624785}",20,0,-183.66104934505955,"{0: 6, 1: 3, 2: 7, 3: 3, 4: 1}",0
3,True,"{'a': 0, 'e': 0.794533602503334}",30,0,-59.252866780960716,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0.7866278610665534}",30,0,-113.64582173258623,"{0: 19, 1: 6, 2: 2, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0.7788007830714049}",20,7,-26.67149927568134,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0.7710515858035663}",20,0,-178.4580392459743,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0.7633794943368533}",25,0,-83.47803772061924,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0.7557837414557255}",20,0,-72.55888299492399,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0.7482635675785653}",20,11,-15.698969659286291,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0.7408182206817179}",20,0,-73.98741993904329,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
